key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate
1,2.891945,space,10.477455,5,27.37687,3.012996674,6.49693,0,0,0,7,1,stim/f_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,7.979075,4.01825587,2.676855,0,1,1,0,1,stim/pof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,6.92245,4.010629018,4.833265,0,2,2,1,1,stim/pief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,2.86593,4.026160876,2.09691,0,3,3,4,1,stim/fof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,5.89088,3.992739995,1.63492,0,4,4,5,1,stim/fief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,2,12.376445,2.960648855,1.57108,0,5,5,3,1,stim/p_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,6,9.51437,1.99891297,1.489715,0,6,6,6,1,stim/feuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,6,6.689705,1.955338319,1.429225,0,7,7,2,1,stim/peuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,6.75036,2.02925841,1.61495,1,0,8,2,1,stim/peuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,5.273365,2.233992577,1.658905,1,1,9,6,1,stim/feuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,2.192535,4.623796145,2.20137,1,2,10,4,1,stim/fof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,2,3.373235,4.627088865,2.456475,1,3,11,7,1,stim/f_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,1,13.846895,3.003429413,2.22428,1,4,12,3,1,stim/p_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,12.082365,3.650375048,2.17039,1,5,13,1,1,stim/pief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,2.122535,3.635358493,1.77758,1,6,14,5,1,stim/fief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,4.78405,3.960319201,1.487075,1,7,15,0,1,stim/pof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,1,11.575805,3.022540728,3.337905,2,0,16,3,1,stim/p_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,6,4.41325,2.50760301,2.053795,2,1,17,6,1,stim/feuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,13.679205,2.48900636,2.7429,2,2,18,2,1,stim/peuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,2.719,3.578588168,1.787005,2,3,19,5,1,stim/fief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,2,2.87197,3.569881439,2.36331,2,4,20,7,1,stim/f_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,2.106005,4.667665164,1.425385,2,5,21,4,1,stim/fof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,4.07863,4.650559107,1.75856,2,6,22,0,1,stim/pof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,5.171005,3.814722379,1.721775,2,7,23,1,1,stim/pief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,6,5.855005,3.774185499,2.105775,3,0,24,2,1,stim/peuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,2,2.884325,3.196054141,2.355625,3,1,25,4,1,stim/fof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,2.600135,4.446939468,2.504275,3,2,26,5,1,stim/fief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,9.03941,2.344829559,2.19499,3,3,27,0,1,stim/pof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,3.12241,4.505175273,1.971025,3,4,28,6,1,stim/feuf_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,5,12.921655,1.731323878,1.984235,3,5,29,3,1,stim/p_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,3,3.57417,4.081508636,1.829425,3,6,30,1,1,stim/pief_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,5,8.51605,3.138899485,1.69493,3,7,31,7,1,stim/f_schwa_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
,,,,4,2.8483,4.720791499,1.62781,4,0,32,4,1,stim/fof_g.wav,5e647d0ce35c88208fdbbb06,001,2022-03-19_15h50.35.677,task,2021.2.3,Linux armv7l,58.33284723
